nama_dosen,bidang,article_id,judul,authors,link_artikel,nama_jurnal,tahun,citation
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,UxriW0iASnsC,Sistem Informasi Rental Mobil Terintegrasi pada Rental Mobil Omah Mobil Salatiga Menggunakan Service Oriented Architecture,"A Kurniawan, AA Nugroho, S Mulyono",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:UxriW0iASnsC,"J. Transistor Elektro dan Inform. EI 2, 134-142, 2017",2017,26
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,KxtntwgDAa4C,Studi Awal Perencanaan sistem Mekanikal dan Kelistrikan Pembangkit Listrik Tenaga Mini-Hidro,"S Warsito, A Syakur, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:KxtntwgDAa4C,"Seminar Nasional Teknik Ketenagalistrikan, UNDIP, 2005",2005,14
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,P5F9QuxV20EC,Analisa Pengaruh Kualitas Batubara Terhadap Biaya Pembangkitan (Studi Kasus di PLTU Rembang),AA Nugroho,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:P5F9QuxV20EC,"Media Elektrika 7 (1), 2014",2014,13
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,4OULZ7Gr8RgC,Review of method for system identification on motors,"B Arifin, AA Nugroho, BY Suprapto, SAD Prasetyowati, Z Nawawi",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:4OULZ7Gr8RgC,"2021 8th International Conference on Electrical Engineering, Computer …, 2021",2021,12
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,NhqRSupF_l8C,Pengendalian Suhu Dalam Ruang Berbasis Logika Fuzzy Dengan Menggunakan National Instrument Myrio 1900,"B Arifin, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:NhqRSupF_l8C,"Prosiding Seminar Nasional & Internasional 1 (1), 2018",2018,12
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,pyW8ca7W8N0C,Analisa optimasi photovoltaic (PV) 100 w menggunakan mppt dengan alogaritma perturb dan observe,"P Setiyawan, SB Utomo, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:pyW8ca7W8N0C,"Elektrika 13 (1), 1-6, 2021",2021,8
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,f2IySw72cVMC,Analisa Koordinasi Setting Proteksi Over Current Relay (OCR) Outgoing 20 kV dan Recloser pada Trafo II 60 MVA Feeder RBG 01 di Gardu Induk 150 kV Rembang,"I Safitri, G Gunawan, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:f2IySw72cVMC,"Elektrika 12 (1), 22-30, 2020",2020,8
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,abG-DnoFyZgC,Analisa Konsumsi Energi Listrik untuk Penghematan Energi Listrik di Gedung Fakultas Teknik Universitas Islam Sultan Agung,"AD Yuliantoro, AA Nugroho, B Sukoco",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:abG-DnoFyZgC,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2019",2019,8
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,3s1wT3WcHBgC,Analisa Drop Tegangan Sambungan Rumah Pada Saluran Kabel Tegangan Rendah (Sktr) Transformator 1 Fasa Di Pt. Pln (Persero) Upj Juwana,"A Hamid, B Sukoco, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:3s1wT3WcHBgC,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2019",2019,6
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,_xSYboBqXhAC,Monitoring Jarak Jauh Dan Kendali Penggunaan Listrik Dengan Logika Fuzzy,"B Arifin, M Khosyiâ, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:_xSYboBqXhAC,"Majalah Ilmiah Momentum 13 (2), 2017",2017,6
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,nb7KW1ujOQ8C,Pengaruh Perubahan Temperatur Terhadap Daya Output Generator PLTG 1.1 Blok I Tambak Lorok Semarang,"B Burhanuddin, M Haddin, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:nb7KW1ujOQ8C,"CYCLOTRON 5 (1), 2022",2022,5
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,a0OBvERweLwC,Three-Phase Power Data Logger Using IEM 3255 Schneider Module Based On Internet Of Things (IOT),"M Khosyi’in, AA Nugroho, A Yulistiyanto",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:a0OBvERweLwC,"Conference SENATIK STT Adisutjipto Yogyakarta 5, 263-274, 2019",2019,5
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,yD5IFk8b50cC,Load Effect on Switched Reluctance Motor Using Hysteresis Current and Voltage Control,"AA Nugroho, M Khosyi'in, B Arifin, BY Suprapto, M Haddin, Z Nawawi",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:yD5IFk8b50cC,"2021 8th International Conference on Electrical Engineering, Computer …, 2021",2021,4
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,ZHo1McVdvXMC,Pengaruh Konfigurasi Dan Kedalaman Penanaman Konduktor Terhadap Resistans Pentanahan Gardu Induk Tegangan Ekstra Tinggi (GITET) 500 KV Ungaran,"AR Saputra, M Haddin, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:ZHo1McVdvXMC,"Media Elektrika 11 (1), 1-13, 2019",2019,4
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,CHSYGLWDkRkC,Sistem pemilihan lokasi kunjugan wisata wenggunakan metode saw (simple additive weighting),"WR Adi, AA Nugroho, SFC Haviana",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:CHSYGLWDkRkC,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2020",2020,3
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,1sJd4Hv_s6UC,Analisis Korelasi Dan Spektrum Data Suara Genset Untuk Peredaman Bising,"SAD Prasetyowati, B Arifin, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:1sJd4Hv_s6UC,"Majalah Ilmiah Momentum 15 (1), 2019",2019,3
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,u_35RYKgDlwC,Optimalisasi Rekonfigurasi Pembangkit Listrik Tenaga Gas Dan Uap Tambak Lorok Semarang,"AA Nugroho, M Haddin, MAR Kurniawan",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:u_35RYKgDlwC,"PROSIDING SEMINAR NASIONAL & INTERNASIONAL 1 (1), 2018",2018,3
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,b0M2c_1WBrUC,Pengembangan Sistem Informasi Marketplace Biro Jasa Pariwisata,"I Qossam, I Widihastuti, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:b0M2c_1WBrUC,"Jurnal Transistor Elektro Dan Informatika (TRANSISTOR EI) 2 (2), 124-133, 2017",2017,3
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,zA6iFVUQeVQC,Pengujian Lampu LED Berdasarkan SNI IEC 62612: 2016,"AA Nugroho, M Khosyi'in, FN Fitrianto",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:zA6iFVUQeVQC,"ReTII, 2017",2017,3
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,D03iK_w7-QYC,Implementasi Manajemen Energi pada Pekerjaan dalam Keadaan Bertegangan Tegangan Menengah (Pdkb-Tm) Pt Pln (Persero) Up3 Kudus,R Rohadi,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:D03iK_w7-QYC,"Universitas Sultan Agung, 2021",2021,2
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,xtRiw3GOFMkC,Analisa efisiensi turbin generator pada STG PLTGU Blok 1 di PT. Indonesia Power UP Semarang,"RJ Al-Ihsany, B Sukoco, AA Nugroho",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:xtRiw3GOFMkC,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2020",2020,2
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,dshw04ExmUIC,Comparative Control Strategy of Asymmetric Bridge Converter for Switched Reluctance Motor,"AA Nugroho, BY Suprapto, Z Nawawi, M Haddin",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:dshw04ExmUIC,"Proceedings of the 2019 2nd International Conference on Electronics and …, 2019",2019,2
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,HDshCWvjkbEC,POTENSI SAMPAH UNTUK PEMBANGKIT LISTRIK TENAGA SAMPAH (PLTSa) KOTA SEMARANG,SF NISRINA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:HDshCWvjkbEC,"Fakultas Teknologi Industri UNISSULA, 2018",2018,2
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,mVmsd5A6BfQC,OPTIMASI CHARGING BOOST KONVERTER DENGAN DUAL OUTPUT PADA ROBOT SEPAKBOLA BERODA,S SUSILO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:mVmsd5A6BfQC,"Universitas Islam Sultan Agung, 2019",2019,1
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,bFI3QPDXJZMC,Root cause failure analysis of stator winding insulation failure on 6.2 MW hydropower generator,"AA Nugroho, I Widihastuti, A Ary",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:bFI3QPDXJZMC,"IOP Conference Series: Materials Science and Engineering 190 (1), 012034, 2017",2017,1
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,EUQCXRtRnyEC,Analisa Pengujian Lampu LED dengan Menggunakan Metode Penuaan dan Metode Pemeliharaan Lumen,"VAA Dina, M Khosyi’in, NA Adhi",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:EUQCXRtRnyEC,"Seminar Nasional FORTEI, 23-28, 2015",2015,1
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,cFHS6HbyZ2cC,Optimum Switching Angle of Switched Reluctance Motor Using Response Surface Methodology,"AA Nugroho, M Khosyi'in, B Arifin, BY Suprapto, M Haddin, Z Nawawi",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:cFHS6HbyZ2cC,"Indonesian Journal of Electrical Engineering and Informatics (IJEEI) 9 (4 …, 2021",2021,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,7PzlFSSx8tAC,ANALISA PERBANDINGAN PENGARUH NILAI PWM TERHADAP TORSI PADA MOTOR DC (PG45),A PRABOWO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:7PzlFSSx8tAC,"Universitas Islam Sultan Agung, 2021",2021,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,u-x6o8ySG0sC,ANALISIS KETIDAKSEIMBANGAN BEBAN TERHADAP RUGI-RUGI DAYA (LOSSES) PADA PENGHANTAR NETRAL DI JARINGAN DISTRIBUSI PENYULANG KLU-02 FEEDER B3-165/1 NOLOKERTO (Menggunakan Software …,MK Na’im,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:u-x6o8ySG0sC,"Universitas Islam Sultan Agung, 2021",2021,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,fPk4N6BV_jEC,ANALISA KOORDINASI RELE ARUS LEBIH UNTUK PENAMBAHAN MOTOR BOILER CIRCULATING PUMP (BCP) 520 KW/3 kV UNTUK KONTINUITAS SUPLAI SIRKULASI AIR PADA BOILER MENGGUNAKAN ETAP 12.6. 0,M Fadhi,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:fPk4N6BV_jEC,,2020,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,9ZlFYXVOiuMC,ANALISA PERHITUNGN EKONOMIS PENERANGAN JALAN MENGGUNAKAN PANEL SURYA DAN PLN DI TAMAN BALAI JAGONG KUDUS,RA WIBOWO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:9ZlFYXVOiuMC,"Universitas Islam Sultan Agung Semarang, 2020",2020,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,dfsIfKJdRG4C,Perancangan Sistem Pakar Diagnosa Kerusakan Mesin Boiler Miura EH-500F Menggunakan Metode Forward Chaining Berbasis Web,"B Ariyanto, AA Nugroho, SFC Haviana",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:dfsIfKJdRG4C,"Prosiding Konstelasi Ilmiah Mahasiswa Unissula (KIMU) Klaster Engineering, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,hMod-77fHWUC,ANALISA PERBAIKAN LOSSES DAN JATUH TEGANGAN PENYULANG PTI 12 DENGAN PELIMPAHAN BEBAN KE PENYULANG BARU PTI 17 MENGGUNAKAN ETAP 12.6 DI RAYON JUWANA,FDWI PRASETYO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:hMod-77fHWUC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,k_IJM867U9cC,ANALISA KOMPARASI EFISIENSI TERMAL DAN KEEKONOMISAN BAHAN BAKAR TERHADAP PERUBAHAN BEBAN PADA PLTGU BLOK 2 PT. INDONESIA POWER UP SEMARANG,S SUDARSONO,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:k_IJM867U9cC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,-f6ydRqryjwC,SISTEM PENDUKUNG KEPUTUSAN PENILAIAN KINERJA KARYAWAN DI PT. PERTIWI INDO MAS MENGGUNAKAN METODE WEIGHTED PRODUCT,NUREVA WIDYASTUTI,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:-f6ydRqryjwC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,hqOjcs7Dif8C,PENGEMBANGAN SISTEM INFORMASI TRACER ALUMNI BBPLK SEMARANG MENGGUNAKAN SKALA LIKERT,A ANAS,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:hqOjcs7Dif8C,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,Se3iqnhoufwC,ANALISIS PERHITUNGAN RUGI-RUGI DAYA PADA SALURAN TRANSMISI TEGANGAN TINGGI 150 KV TAMBAK LOROK–BAWEN DENGAN MENGGUNAKAN ETAP 12.6. 0,R RIFAL,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:Se3iqnhoufwC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,qjMakFHDy7sC,STUDI ANALISA OPERASI PEMBANGKIT LISTRIK TENAGA SAMPAH JATIBARANG KOTA SEMARANG,SA HIDAYAT,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:qjMakFHDy7sC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,9yKSN-GCB0IC,ANALISA PELUANG PENGHEMATAN SISTEM PENCAHAYAAN DI MASJID RAYA BAITURRAHMAN SEMARANG,AH ARIF,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:9yKSN-GCB0IC,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,d1gkVwhDpl0C,POTENSI DAYA LISTRIK YANG DIHASILKAN PADA PEMBANGKIT LISTRIK TENAGA SAMPAH (PLTSa) JATIBARANG SEMARANG,TADI SAPUTRA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:d1gkVwhDpl0C,"Universitas Islam Sultan Agung, 2019",2019,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,NaGl4SEjCO4C,RANCANG BANGUN SISTEM INFORMASI ALUMNI PADA IKATAN KELUARGA PONDOK MODERN GONTOR CABANG KENDARI BERBASIS WEB,ND ARIS,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:NaGl4SEjCO4C,"Universitas Islam Sultan Agung, 2018",2018,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,Tyk-4Ss8FVUC,ANALISA KETIDAKSEIMBANGAN BEBAN TERHADAP ARUS NETRAL PADA TRAFO 60 MVA GARDU INDUK TAMBAK LOROK 150/20 KV,MAHD NABILA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:Tyk-4Ss8FVUC,"Universitas Islam Sultan Agung, 2018",2018,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,lSLTfruPkqcC,SISTEM INFORMASI REKAM MEDIS PADA KLINIK BIDAN Hj. NAWANGSIH SEMARANG,JA Isra,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:lSLTfruPkqcC,"Fakultas Teknologi Industri UNISSULA, 2017",2017,
"Dr. Ir. Agus Adhi Nugroho, MT",Teknik Elektro,hC7cP41nSMkC,ANALISIS UNJUK KERJA DYNAMIC VOLTAGE RESTORER UNTUK MENGATASI KEDIP TEGANGAN AKIBAT PENGASUTAN MOTOR INDUKSI,MNUL HAMAM,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=OfqdgBkAAAAJ&pagesize=100&citation_for_view=OfqdgBkAAAAJ:hC7cP41nSMkC,"Fakultas Teknologi Industri UNISSULA, 2017",2017,
